sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
8122-182,,Default,simple,"Direct Distribution & Tour",base,,,,"2010-12-17 21:42:04",,,,,"Acrylic stands for holding pocket-sized brochures and gospel tracts. 7 x 4 inches (assembly required). Brochures must be ordered separately.",1,,,0,/l/r/lrg_brochurestand1.jpg,,No,,,,,,,,,," Brochure Stand Clear (Mini)",,,"Block after Info Column",,5.0000,0,"Acrylic stands for holding pocket-sized brochures and gospel tracts. 7 x 4 inches (assembly required). Brochures must be ordered separately.",/t/h/thumb_brochurestand1.jpg,,"2011-03-24 00:00:00",5.0000,,1,2,/t/h/thumb_brochurestand1.jpg,,"2011-03-24 23:36:51",brochure-stand,brochure-stand.html,4,0.3000,157.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/thumb_brochurestand1.jpg,,1,1
,,,,"All items",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_brochurestand2.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_brochurestand1.jpg,,2,0
1136-112,,Default,simple,,base,,,,"2010-12-17 21:42:05",,,,,"A valuable booklet that can help any brother or sister get into the treasures in the Recovery Version. Can be used for personal study, group study, and shepherding new believers into the truths in the Word. Every free Bible comes with a copy of this booklet, designed to be tucked into the case of the Recovery Version. Contents: features of the Recovery Version; directory of 15 study topics from the New Testament with verse and footnote references for each topic; a sample study using one of the topics from the directory; information on ReadHisWord.com; two-year schedule for reading the New Testament Recovery Version with footnotes. See the full guide by going to this site’s home page and clicking on the ""Watch the Demo"" box. Also available in Spanish. 6.5 x 4.25 inches. 16 pages.",1,,,0,/l/r/lrg_usingrcvguide1.jpg,"Front cover",No,,,,,,,,,," Using the NT RcV Guide English",,,"Block after Info Column",,1.0000,0,"A valuable booklet that can help any brother or sister get into the treasures in the Recovery Version. Can be used for personal study, group study, and shepherding new believers into the truths in the Word. Every free Bible comes with a copy of this booklet, designed to be tucked into the case of the Recovery Version. Contents: features of the Recovery Version; directory of 15 study topics from the New Testament with verse and footnote references for each topic; a sample study using one of the topics from the directory; information on ReadHisWord.com; two-year schedule for reading the New Testament Recovery Version with footnotes. See the full guide by going to this site’s home page and clicking on the ""Watch the Demo"" box. Also available in Spanish. 6.5 x 4.25 inches. 16 pages.",/t/h/thumb_usingrcvguide.jpg,,,1.0000,,1,2,/t/h/thumb_usingrcvguide.jpg,,"2011-01-20 00:01:32",using-the-new-testament-recovery-version-english,using-the-new-testament-recovery-version-english.html,1,0.0625,179312.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/thumb_usingrcvguide.jpg,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_usingrcvguide1.jpg,"Front cover",2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_usingrcvguide3.jpg,"Topical directory",4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_usingrcvguide2.jpg,"Recovery version features",3,0
2136-112,,Default,simple,,base,,,,"2010-12-17 21:42:07",,,,,"<p><em>Una guia illustrada</em>&8212;Un folleto de gran valor que puede ayudar a cualquier hermano o hermana a entrar en los tesoros de la Versi&oacute;n Recobro. Puede emplearse para estudio personal, estudio en grupo y para el pastoreo de los creyentes nuevos introduci&eacute;ndolos en las verdades de la Palabra de Dios. Cada biblia gratuita viene con un ejemplar de este folleto, dise&ntilde;ado para colocarse dentro del estuche de la Versi&oacute;n Recobro. Incluye: las caracter&iacute;sticas sobresalientes de la Versi&oacute;n Recobro, una gu&iacute;a tem&aacute;tica compuesta de 15 temas del Nuevo Testamento con vers&iacute;culos y notas de pie de p&aacute;gina para cada tema; una muestra de estudio utilizando uno de los temas de la gu&iacute;a tem&aacute;tica y un itinerario de dos a&ntilde;os para la lectura del Nuevo Testamento Versi&oacute;n Recobro con notas de pie de p&aacute;gina. Vea la gu&iacute;a completa cuando visite la p&aacute;gina principal de este sitio y oprima el bot&oacute;n &ldquo;Mirar la demostraci&oacute;n&rdquo;. Disponible tambi&eacute;n en ingl&eacute;s. 6.5 x 4.25 pulgadas. 16 p&aacute;ginas</p>",1,,,0,/l/r/lrg_spanish_usingrcvguide1.jpg,,No,,,,,,,,,," Using the NT RcV Guide SPANISH",,,"Block after Info Column",,1.0000,0,"<p><em>Una guia illustrada</em>&8212;Un folleto de gran valor que puede ayudar a cualquier hermano o hermana a entrar en los tesoros de la Versi&oacute;n Recobro. Puede emplearse para estudio personal, estudio en grupo y para el pastoreo de los creyentes nuevos introduci&eacute;ndolos en las verdades de la Palabra de Dios. Cada biblia gratuita viene con un ejemplar de este folleto, dise&ntilde;ado para colocarse dentro del estuche de la Versi&oacute;n Recobro. Incluye: las caracter&iacute;sticas sobresalientes de la Versi&oacute;n Recobro, una gu&iacute;a tem&aacute;tica compuesta de 15 temas del Nuevo Testamento con vers&iacute;culos y notas de pie de p&aacute;gina para cada tema; una muestra de estudio utilizando uno de los temas de la gu&iacute;a tem&aacute;tica y un itinerario de dos a&ntilde;os para la lectura del Nuevo Testamento Versi&oacute;n Recobro con notas de pie de p&aacute;gina. Vea la gu&iacute;a completa cuando visite la p&aacute;gina principal de este sitio y oprima el bot&oacute;n &ldquo;Mirar la demostraci&oacute;n&rdquo;. Disponible tambi&eacute;n en ingl&eacute;s. 6.5 x 4.25 pulgadas. 16 p&aacute;ginas</p>",/t/h/thumb_spanish_usingrcvguide1.jpg,,,1.0000,,1,2,/t/h/thumb_spanish_usingrcvguide1.jpg,,"2011-01-12 23:34:41",una-guia-ilustrada-spanish,una-guia-ilustrada-spanish.html,1,0.0625,20666.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/thumb_spanish_usingrcvguide1.jpg,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_spanish_usingrcvguide3.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_spanish_usingrcvguide1.jpg,,2,0
